pair_id,variant,term,year,search_results,title_matches,source
38,russian,Chernigov,2010,50,28,youtube_invidious
38,ukrainian,Chernihiv,2010,50,34,youtube_invidious
38,russian,Chernigov,2011,50,32,youtube_invidious
38,ukrainian,Chernihiv,2011,50,27,youtube_invidious
38,russian,Chernigov,2012,50,24,youtube_invidious
38,ukrainian,Chernihiv,2012,50,39,youtube_invidious
38,russian,Chernigov,2013,50,17,youtube_invidious
38,ukrainian,Chernihiv,2013,50,39,youtube_invidious
38,russian,Chernigov,2014,50,17,youtube_invidious
38,ukrainian,Chernihiv,2014,50,42,youtube_invidious
38,russian,Chernigov,2015,50,25,youtube_invidious
38,ukrainian,Chernihiv,2015,50,37,youtube_invidious
38,russian,Chernigov,2016,50,17,youtube_invidious
38,ukrainian,Chernihiv,2016,50,43,youtube_invidious
38,russian,Chernigov,2017,50,26,youtube_invidious
38,ukrainian,Chernihiv,2017,50,39,youtube_invidious
38,russian,Chernigov,2018,50,13,youtube_invidious
38,ukrainian,Chernihiv,2018,50,48,youtube_invidious
38,russian,Chernigov,2019,50,13,youtube_invidious
38,ukrainian,Chernihiv,2019,50,44,youtube_invidious
38,russian,Chernigov,2020,50,4,youtube_invidious
38,ukrainian,Chernihiv,2020,50,46,youtube_invidious
38,russian,Chernigov,2021,50,7,youtube_invidious
38,ukrainian,Chernihiv,2021,50,48,youtube_invidious
38,russian,Chernigov,2022,50,0,youtube_invidious
38,ukrainian,Chernihiv,2022,50,50,youtube_invidious
38,russian,Chernigov,2023,50,1,youtube_invidious
38,ukrainian,Chernihiv,2023,50,48,youtube_invidious
38,russian,Chernigov,2024,50,2,youtube_invidious
38,ukrainian,Chernihiv,2024,50,45,youtube_invidious
38,russian,Chernigov,2025,50,3,youtube_invidious
38,ukrainian,Chernihiv,2025,50,43,youtube_invidious
38,russian,Chernigov,2026,50,3,youtube_invidious
38,ukrainian,Chernihiv,2026,50,34,youtube_invidious
