pair_id,variant,term,year,search_results,title_matches,source
51,russian,Zorya Lugansk,2010,50,7,youtube_invidious
51,ukrainian,Zorya Luhansk,2010,50,20,youtube_invidious
51,russian,Zorya Lugansk,2011,50,6,youtube_invidious
51,ukrainian,Zorya Luhansk,2011,50,16,youtube_invidious
51,russian,Zorya Lugansk,2012,50,3,youtube_invidious
51,ukrainian,Zorya Luhansk,2012,50,23,youtube_invidious
51,russian,Zorya Lugansk,2013,50,10,youtube_invidious
51,ukrainian,Zorya Luhansk,2013,50,27,youtube_invidious
51,russian,Zorya Lugansk,2014,50,7,youtube_invidious
51,ukrainian,Zorya Luhansk,2014,50,33,youtube_invidious
51,russian,Zorya Lugansk,2015,50,6,youtube_invidious
51,ukrainian,Zorya Luhansk,2015,50,33,youtube_invidious
51,russian,Zorya Lugansk,2016,50,3,youtube_invidious
51,ukrainian,Zorya Luhansk,2016,50,35,youtube_invidious
51,russian,Zorya Lugansk,2017,50,3,youtube_invidious
51,ukrainian,Zorya Luhansk,2017,50,38,youtube_invidious
51,russian,Zorya Lugansk,2018,50,4,youtube_invidious
51,ukrainian,Zorya Luhansk,2018,50,39,youtube_invidious
51,russian,Zorya Lugansk,2019,50,2,youtube_invidious
51,ukrainian,Zorya Luhansk,2019,50,41,youtube_invidious
51,russian,Zorya Lugansk,2020,50,3,youtube_invidious
51,ukrainian,Zorya Luhansk,2020,50,45,youtube_invidious
51,russian,Zorya Lugansk,2021,50,2,youtube_invidious
51,ukrainian,Zorya Luhansk,2021,50,40,youtube_invidious
51,russian,Zorya Lugansk,2022,50,4,youtube_invidious
51,ukrainian,Zorya Luhansk,2022,50,37,youtube_invidious
51,russian,Zorya Lugansk,2023,50,1,youtube_invidious
51,ukrainian,Zorya Luhansk,2023,50,38,youtube_invidious
51,russian,Zorya Lugansk,2024,50,2,youtube_invidious
51,ukrainian,Zorya Luhansk,2024,50,22,youtube_invidious
51,russian,Zorya Lugansk,2025,50,2,youtube_invidious
51,ukrainian,Zorya Luhansk,2025,50,11,youtube_invidious
51,russian,Zorya Lugansk,2026,50,3,youtube_invidious
51,ukrainian,Zorya Luhansk,2026,50,7,youtube_invidious
