pair_id,variant,term,year,search_results,title_matches,source
53,russian,Karpaty Lvov,2010,50,0,youtube_invidious
53,ukrainian,Karpaty Lviv,2010,50,40,youtube_invidious
53,russian,Karpaty Lvov,2011,50,0,youtube_invidious
53,ukrainian,Karpaty Lviv,2011,50,42,youtube_invidious
53,russian,Karpaty Lvov,2012,50,1,youtube_invidious
53,ukrainian,Karpaty Lviv,2012,50,39,youtube_invidious
53,russian,Karpaty Lvov,2013,50,0,youtube_invidious
53,ukrainian,Karpaty Lviv,2013,50,43,youtube_invidious
53,russian,Karpaty Lvov,2014,50,1,youtube_invidious
53,ukrainian,Karpaty Lviv,2014,50,39,youtube_invidious
53,russian,Karpaty Lvov,2015,50,0,youtube_invidious
53,ukrainian,Karpaty Lviv,2015,50,39,youtube_invidious
53,russian,Karpaty Lvov,2016,50,1,youtube_invidious
53,ukrainian,Karpaty Lviv,2016,50,39,youtube_invidious
53,russian,Karpaty Lvov,2017,50,0,youtube_invidious
53,ukrainian,Karpaty Lviv,2017,50,37,youtube_invidious
53,russian,Karpaty Lvov,2018,50,0,youtube_invidious
53,ukrainian,Karpaty Lviv,2018,50,35,youtube_invidious
53,russian,Karpaty Lvov,2019,50,1,youtube_invidious
53,ukrainian,Karpaty Lviv,2019,50,39,youtube_invidious
53,russian,Karpaty Lvov,2020,50,1,youtube_invidious
53,ukrainian,Karpaty Lviv,2020,50,36,youtube_invidious
53,russian,Karpaty Lvov,2021,50,1,youtube_invidious
53,ukrainian,Karpaty Lviv,2021,50,38,youtube_invidious
53,russian,Karpaty Lvov,2022,50,1,youtube_invidious
53,ukrainian,Karpaty Lviv,2022,50,31,youtube_invidious
53,russian,Karpaty Lvov,2023,50,0,youtube_invidious
53,ukrainian,Karpaty Lviv,2023,50,16,youtube_invidious
53,russian,Karpaty Lvov,2024,50,0,youtube_invidious
53,ukrainian,Karpaty Lviv,2024,50,27,youtube_invidious
53,russian,Karpaty Lvov,2025,50,0,youtube_invidious
53,ukrainian,Karpaty Lviv,2025,50,30,youtube_invidious
53,russian,Karpaty Lvov,2026,50,0,youtube_invidious
53,ukrainian,Karpaty Lviv,2026,50,20,youtube_invidious
