pair_id,variant,term,year,search_results,title_matches,source
31,russian,Kiev Patriarchate,2010,20,0,youtube_invidious
31,ukrainian,Kyiv Patriarchate,2010,20,1,youtube_invidious
31,russian,Kiev Patriarchate,2011,20,0,youtube_invidious
31,ukrainian,Kyiv Patriarchate,2011,20,0,youtube_invidious
31,russian,Kiev Patriarchate,2012,20,0,youtube_invidious
31,ukrainian,Kyiv Patriarchate,2012,20,0,youtube_invidious
31,russian,Kiev Patriarchate,2013,20,0,youtube_invidious
31,ukrainian,Kyiv Patriarchate,2013,20,1,youtube_invidious
31,russian,Kiev Patriarchate,2014,20,0,youtube_invidious
31,ukrainian,Kyiv Patriarchate,2014,20,1,youtube_invidious
31,russian,Kiev Patriarchate,2015,20,0,youtube_invidious
31,ukrainian,Kyiv Patriarchate,2015,20,1,youtube_invidious
31,russian,Kiev Patriarchate,2016,20,1,youtube_invidious
31,ukrainian,Kyiv Patriarchate,2016,20,2,youtube_invidious
31,russian,Kiev Patriarchate,2017,20,0,youtube_invidious
31,ukrainian,Kyiv Patriarchate,2017,20,3,youtube_invidious
31,russian,Kiev Patriarchate,2018,20,2,youtube_invidious
31,ukrainian,Kyiv Patriarchate,2018,20,1,youtube_invidious
31,russian,Kiev Patriarchate,2019,20,0,youtube_invidious
31,ukrainian,Kyiv Patriarchate,2019,20,0,youtube_invidious
31,russian,Kiev Patriarchate,2020,20,2,youtube_invidious
31,ukrainian,Kyiv Patriarchate,2020,20,0,youtube_invidious
31,russian,Kiev Patriarchate,2021,20,1,youtube_invidious
31,ukrainian,Kyiv Patriarchate,2021,20,0,youtube_invidious
31,russian,Kiev Patriarchate,2022,20,0,youtube_invidious
31,ukrainian,Kyiv Patriarchate,2022,20,0,youtube_invidious
31,russian,Kiev Patriarchate,2023,20,0,youtube_invidious
31,ukrainian,Kyiv Patriarchate,2023,20,0,youtube_invidious
31,russian,Kiev Patriarchate,2024,20,0,youtube_invidious
31,ukrainian,Kyiv Patriarchate,2024,20,0,youtube_invidious
31,russian,Kiev Patriarchate,2025,20,0,youtube_invidious
31,ukrainian,Kyiv Patriarchate,2025,20,0,youtube_invidious
31,russian,Kiev Patriarchate,2026,20,1,youtube_invidious
31,ukrainian,Kyiv Patriarchate,2026,20,0,youtube_invidious
