pair_id,variant,term,year,search_results,title_matches,source
24,russian,Pechersk Lavra Kiev,2010,20,0,youtube_invidious
24,ukrainian,Pechersk Lavra Kyiv,2010,20,0,youtube_invidious
24,russian,Pechersk Lavra Kiev,2011,20,0,youtube_invidious
24,ukrainian,Pechersk Lavra Kyiv,2011,20,0,youtube_invidious
24,russian,Pechersk Lavra Kiev,2012,20,0,youtube_invidious
24,ukrainian,Pechersk Lavra Kyiv,2012,20,0,youtube_invidious
24,russian,Pechersk Lavra Kiev,2013,20,0,youtube_invidious
24,ukrainian,Pechersk Lavra Kyiv,2013,20,0,youtube_invidious
24,russian,Pechersk Lavra Kiev,2014,20,0,youtube_invidious
24,ukrainian,Pechersk Lavra Kyiv,2014,20,0,youtube_invidious
24,russian,Pechersk Lavra Kiev,2015,20,0,youtube_invidious
24,ukrainian,Pechersk Lavra Kyiv,2015,20,0,youtube_invidious
24,russian,Pechersk Lavra Kiev,2016,20,0,youtube_invidious
24,ukrainian,Pechersk Lavra Kyiv,2016,20,0,youtube_invidious
24,russian,Pechersk Lavra Kiev,2017,20,1,youtube_invidious
24,ukrainian,Pechersk Lavra Kyiv,2017,20,0,youtube_invidious
24,russian,Pechersk Lavra Kiev,2018,20,1,youtube_invidious
24,ukrainian,Pechersk Lavra Kyiv,2018,20,0,youtube_invidious
24,russian,Pechersk Lavra Kiev,2019,20,0,youtube_invidious
24,ukrainian,Pechersk Lavra Kyiv,2019,20,1,youtube_invidious
24,russian,Pechersk Lavra Kiev,2020,20,0,youtube_invidious
24,ukrainian,Pechersk Lavra Kyiv,2020,20,1,youtube_invidious
24,russian,Pechersk Lavra Kiev,2021,20,0,youtube_invidious
24,ukrainian,Pechersk Lavra Kyiv,2021,20,0,youtube_invidious
24,russian,Pechersk Lavra Kiev,2022,20,0,youtube_invidious
24,ukrainian,Pechersk Lavra Kyiv,2022,20,0,youtube_invidious
24,russian,Pechersk Lavra Kiev,2023,20,0,youtube_invidious
24,ukrainian,Pechersk Lavra Kyiv,2023,20,0,youtube_invidious
24,russian,Pechersk Lavra Kiev,2024,20,0,youtube_invidious
24,ukrainian,Pechersk Lavra Kyiv,2024,20,0,youtube_invidious
24,russian,Pechersk Lavra Kiev,2025,20,0,youtube_invidious
24,ukrainian,Pechersk Lavra Kyiv,2025,20,0,youtube_invidious
24,russian,Pechersk Lavra Kiev,2026,20,0,youtube_invidious
24,ukrainian,Pechersk Lavra Kyiv,2026,20,0,youtube_invidious
