pair_id,variant,term,year,search_results,title_matches,source
34,russian,Kiev ballet,2010,50,11,youtube_invidious
34,ukrainian,Kyiv ballet,2010,50,1,youtube_invidious
34,russian,Kiev ballet,2011,50,15,youtube_invidious
34,ukrainian,Kyiv ballet,2011,50,1,youtube_invidious
34,russian,Kiev ballet,2012,50,14,youtube_invidious
34,ukrainian,Kyiv ballet,2012,50,2,youtube_invidious
34,russian,Kiev ballet,2013,50,25,youtube_invidious
34,ukrainian,Kyiv ballet,2013,50,1,youtube_invidious
34,russian,Kiev ballet,2014,50,17,youtube_invidious
34,ukrainian,Kyiv ballet,2014,50,4,youtube_invidious
34,russian,Kiev ballet,2015,50,11,youtube_invidious
34,ukrainian,Kyiv ballet,2015,50,4,youtube_invidious
34,russian,Kiev ballet,2016,50,13,youtube_invidious
34,ukrainian,Kyiv ballet,2016,50,1,youtube_invidious
34,russian,Kiev ballet,2017,50,26,youtube_invidious
34,ukrainian,Kyiv ballet,2017,50,1,youtube_invidious
34,russian,Kiev ballet,2018,50,21,youtube_invidious
34,ukrainian,Kyiv ballet,2018,50,5,youtube_invidious
34,russian,Kiev ballet,2019,50,7,youtube_invidious
34,ukrainian,Kyiv ballet,2019,50,2,youtube_invidious
34,russian,Kiev ballet,2020,50,6,youtube_invidious
34,ukrainian,Kyiv ballet,2020,50,6,youtube_invidious
34,russian,Kiev ballet,2021,50,11,youtube_invidious
34,ukrainian,Kyiv ballet,2021,50,8,youtube_invidious
34,russian,Kiev ballet,2022,50,12,youtube_invidious
34,ukrainian,Kyiv ballet,2022,50,4,youtube_invidious
34,russian,Kiev ballet,2023,50,18,youtube_invidious
34,ukrainian,Kyiv ballet,2023,50,9,youtube_invidious
34,russian,Kiev ballet,2024,50,5,youtube_invidious
34,ukrainian,Kyiv ballet,2024,50,27,youtube_invidious
34,russian,Kiev ballet,2025,50,1,youtube_invidious
34,ukrainian,Kyiv ballet,2025,50,9,youtube_invidious
34,russian,Kiev ballet,2026,50,0,youtube_invidious
34,ukrainian,Kyiv ballet,2026,50,9,youtube_invidious
