pair_id,variant,term,year,search_results,title_matches,source
19,russian,Zakarpattia,2010,50,18,youtube_invidious
19,ukrainian,Transcarpathia Ukraine,2010,50,0,youtube_invidious
19,russian,Zakarpattia,2011,50,16,youtube_invidious
19,ukrainian,Transcarpathia Ukraine,2011,50,2,youtube_invidious
19,russian,Zakarpattia,2012,50,23,youtube_invidious
19,ukrainian,Transcarpathia Ukraine,2012,50,1,youtube_invidious
19,russian,Zakarpattia,2013,50,28,youtube_invidious
19,ukrainian,Transcarpathia Ukraine,2013,50,1,youtube_invidious
19,russian,Zakarpattia,2014,50,28,youtube_invidious
19,ukrainian,Transcarpathia Ukraine,2014,50,0,youtube_invidious
19,russian,Zakarpattia,2015,50,25,youtube_invidious
19,ukrainian,Transcarpathia Ukraine,2015,50,0,youtube_invidious
19,russian,Zakarpattia,2016,50,24,youtube_invidious
19,ukrainian,Transcarpathia Ukraine,2016,50,0,youtube_invidious
19,russian,Zakarpattia,2017,50,35,youtube_invidious
19,ukrainian,Transcarpathia Ukraine,2017,50,2,youtube_invidious
19,russian,Zakarpattia,2018,50,36,youtube_invidious
19,ukrainian,Transcarpathia Ukraine,2018,50,1,youtube_invidious
19,russian,Zakarpattia,2019,50,39,youtube_invidious
19,ukrainian,Transcarpathia Ukraine,2019,50,1,youtube_invidious
19,russian,Zakarpattia,2020,50,44,youtube_invidious
19,ukrainian,Transcarpathia Ukraine,2020,50,0,youtube_invidious
19,russian,Zakarpattia,2021,50,37,youtube_invidious
19,ukrainian,Transcarpathia Ukraine,2021,50,2,youtube_invidious
19,russian,Zakarpattia,2022,50,43,youtube_invidious
19,ukrainian,Transcarpathia Ukraine,2022,50,1,youtube_invidious
19,russian,Zakarpattia,2023,50,33,youtube_invidious
19,ukrainian,Transcarpathia Ukraine,2023,50,0,youtube_invidious
19,russian,Zakarpattia,2024,50,20,youtube_invidious
19,ukrainian,Transcarpathia Ukraine,2024,50,0,youtube_invidious
19,russian,Zakarpattia,2025,50,27,youtube_invidious
19,ukrainian,Transcarpathia Ukraine,2025,50,1,youtube_invidious
19,russian,Zakarpattia,2026,50,11,youtube_invidious
19,ukrainian,Transcarpathia Ukraine,2026,50,0,youtube_invidious
