pair_id,variant,term,year,search_results,title_matches,source
70,russian,Vladimir the Great prince,2010,20,0,youtube_invidious
70,ukrainian,Volodymyr the Great prince,2010,20,0,youtube_invidious
70,russian,Vladimir the Great prince,2011,20,0,youtube_invidious
70,ukrainian,Volodymyr the Great prince,2011,20,0,youtube_invidious
70,russian,Vladimir the Great prince,2012,20,0,youtube_invidious
70,ukrainian,Volodymyr the Great prince,2012,20,0,youtube_invidious
70,russian,Vladimir the Great prince,2013,20,0,youtube_invidious
70,ukrainian,Volodymyr the Great prince,2013,20,0,youtube_invidious
70,russian,Vladimir the Great prince,2014,20,0,youtube_invidious
70,ukrainian,Volodymyr the Great prince,2014,20,0,youtube_invidious
70,russian,Vladimir the Great prince,2015,20,0,youtube_invidious
70,ukrainian,Volodymyr the Great prince,2015,20,0,youtube_invidious
70,russian,Vladimir the Great prince,2016,20,0,youtube_invidious
70,ukrainian,Volodymyr the Great prince,2016,20,0,youtube_invidious
70,russian,Vladimir the Great prince,2017,20,0,youtube_invidious
70,ukrainian,Volodymyr the Great prince,2017,20,0,youtube_invidious
70,russian,Vladimir the Great prince,2018,20,0,youtube_invidious
70,ukrainian,Volodymyr the Great prince,2018,20,0,youtube_invidious
70,russian,Vladimir the Great prince,2019,20,0,youtube_invidious
70,ukrainian,Volodymyr the Great prince,2019,20,0,youtube_invidious
70,russian,Vladimir the Great prince,2020,20,0,youtube_invidious
70,ukrainian,Volodymyr the Great prince,2020,20,0,youtube_invidious
70,russian,Vladimir the Great prince,2021,20,0,youtube_invidious
70,ukrainian,Volodymyr the Great prince,2021,20,0,youtube_invidious
70,russian,Vladimir the Great prince,2022,20,0,youtube_invidious
70,ukrainian,Volodymyr the Great prince,2022,20,0,youtube_invidious
70,russian,Vladimir the Great prince,2023,20,0,youtube_invidious
70,ukrainian,Volodymyr the Great prince,2023,20,0,youtube_invidious
70,russian,Vladimir the Great prince,2024,20,0,youtube_invidious
70,ukrainian,Volodymyr the Great prince,2024,20,0,youtube_invidious
70,russian,Vladimir the Great prince,2025,20,0,youtube_invidious
70,ukrainian,Volodymyr the Great prince,2025,20,0,youtube_invidious
70,russian,Vladimir the Great prince,2026,20,0,youtube_invidious
70,ukrainian,Volodymyr the Great prince,2026,20,0,youtube_invidious
