pair_id,variant,term,year,search_results,title_matches,source
48,russian,Gopak dance,2010,20,1,youtube_invidious
48,ukrainian,Hopak dance,2010,20,2,youtube_invidious
48,russian,Gopak dance,2011,20,0,youtube_invidious
48,ukrainian,Hopak dance,2011,20,1,youtube_invidious
48,russian,Gopak dance,2012,20,0,youtube_invidious
48,ukrainian,Hopak dance,2012,20,1,youtube_invidious
48,russian,Gopak dance,2013,20,0,youtube_invidious
48,ukrainian,Hopak dance,2013,20,0,youtube_invidious
48,russian,Gopak dance,2014,20,0,youtube_invidious
48,ukrainian,Hopak dance,2014,20,3,youtube_invidious
48,russian,Gopak dance,2015,20,0,youtube_invidious
48,ukrainian,Hopak dance,2015,20,2,youtube_invidious
48,russian,Gopak dance,2016,20,0,youtube_invidious
48,ukrainian,Hopak dance,2016,20,1,youtube_invidious
48,russian,Gopak dance,2017,20,0,youtube_invidious
48,ukrainian,Hopak dance,2017,20,6,youtube_invidious
48,russian,Gopak dance,2018,20,0,youtube_invidious
48,ukrainian,Hopak dance,2018,20,2,youtube_invidious
48,russian,Gopak dance,2019,20,0,youtube_invidious
48,ukrainian,Hopak dance,2019,20,6,youtube_invidious
48,russian,Gopak dance,2020,20,0,youtube_invidious
48,ukrainian,Hopak dance,2020,20,5,youtube_invidious
48,russian,Gopak dance,2021,20,0,youtube_invidious
48,ukrainian,Hopak dance,2021,20,3,youtube_invidious
48,russian,Gopak dance,2022,20,1,youtube_invidious
48,ukrainian,Hopak dance,2022,20,5,youtube_invidious
48,russian,Gopak dance,2023,20,0,youtube_invidious
48,ukrainian,Hopak dance,2023,20,11,youtube_invidious
48,russian,Gopak dance,2024,20,0,youtube_invidious
48,ukrainian,Hopak dance,2024,20,5,youtube_invidious
48,russian,Gopak dance,2025,20,2,youtube_invidious
48,ukrainian,Hopak dance,2025,20,3,youtube_invidious
48,russian,Gopak dance,2026,20,0,youtube_invidious
48,ukrainian,Hopak dance,2026,20,6,youtube_invidious
