pair_id,variant,term,year,search_results,title_matches,source
35,russian,Kievan Rus,2010,20,6,youtube_invidious
35,ukrainian,Kyivan Rus,2010,20,0,youtube_invidious
35,russian,Kievan Rus,2011,20,11,youtube_invidious
35,ukrainian,Kyivan Rus,2011,20,7,youtube_invidious
35,russian,Kievan Rus,2012,20,12,youtube_invidious
35,ukrainian,Kyivan Rus,2012,20,4,youtube_invidious
35,russian,Kievan Rus,2013,20,6,youtube_invidious
35,ukrainian,Kyivan Rus,2013,20,8,youtube_invidious
35,russian,Kievan Rus,2014,20,5,youtube_invidious
35,ukrainian,Kyivan Rus,2014,20,6,youtube_invidious
35,russian,Kievan Rus,2015,20,10,youtube_invidious
35,ukrainian,Kyivan Rus,2015,20,4,youtube_invidious
35,russian,Kievan Rus,2016,20,8,youtube_invidious
35,ukrainian,Kyivan Rus,2016,20,2,youtube_invidious
35,russian,Kievan Rus,2017,20,10,youtube_invidious
35,ukrainian,Kyivan Rus,2017,20,5,youtube_invidious
35,russian,Kievan Rus,2018,20,14,youtube_invidious
35,ukrainian,Kyivan Rus,2018,20,8,youtube_invidious
35,russian,Kievan Rus,2019,20,9,youtube_invidious
35,ukrainian,Kyivan Rus,2019,20,6,youtube_invidious
35,russian,Kievan Rus,2020,20,6,youtube_invidious
35,ukrainian,Kyivan Rus,2020,20,6,youtube_invidious
35,russian,Kievan Rus,2021,20,10,youtube_invidious
35,ukrainian,Kyivan Rus,2021,20,7,youtube_invidious
35,russian,Kievan Rus,2022,20,9,youtube_invidious
35,ukrainian,Kyivan Rus,2022,20,3,youtube_invidious
35,russian,Kievan Rus,2023,20,13,youtube_invidious
35,ukrainian,Kyivan Rus,2023,20,6,youtube_invidious
35,russian,Kievan Rus,2024,20,14,youtube_invidious
35,ukrainian,Kyivan Rus,2024,20,4,youtube_invidious
35,russian,Kievan Rus,2025,20,17,youtube_invidious
35,ukrainian,Kyivan Rus,2025,20,2,youtube_invidious
35,russian,Kievan Rus,2026,20,5,youtube_invidious
35,ukrainian,Kyivan Rus,2026,20,0,youtube_invidious
