pair_id,variant,term,year,search_results,title_matches,source
56,russian,Motherland Monument Kiev,2010,50,0,youtube_invidious
56,ukrainian,Motherland Monument Kyiv,2010,50,0,youtube_invidious
56,russian,Motherland Monument Kiev,2011,50,0,youtube_invidious
56,ukrainian,Motherland Monument Kyiv,2011,50,0,youtube_invidious
56,russian,Motherland Monument Kiev,2012,50,1,youtube_invidious
56,ukrainian,Motherland Monument Kyiv,2012,50,1,youtube_invidious
56,russian,Motherland Monument Kiev,2013,50,0,youtube_invidious
56,ukrainian,Motherland Monument Kyiv,2013,50,0,youtube_invidious
56,russian,Motherland Monument Kiev,2014,50,2,youtube_invidious
56,ukrainian,Motherland Monument Kyiv,2014,50,0,youtube_invidious
56,russian,Motherland Monument Kiev,2015,50,2,youtube_invidious
56,ukrainian,Motherland Monument Kyiv,2015,50,0,youtube_invidious
56,russian,Motherland Monument Kiev,2016,50,0,youtube_invidious
56,ukrainian,Motherland Monument Kyiv,2016,50,0,youtube_invidious
56,russian,Motherland Monument Kiev,2017,50,1,youtube_invidious
56,ukrainian,Motherland Monument Kyiv,2017,50,1,youtube_invidious
56,russian,Motherland Monument Kiev,2018,50,0,youtube_invidious
56,ukrainian,Motherland Monument Kyiv,2018,50,0,youtube_invidious
56,russian,Motherland Monument Kiev,2019,50,4,youtube_invidious
56,ukrainian,Motherland Monument Kyiv,2019,50,3,youtube_invidious
56,russian,Motherland Monument Kiev,2020,50,2,youtube_invidious
56,ukrainian,Motherland Monument Kyiv,2020,50,3,youtube_invidious
56,russian,Motherland Monument Kiev,2021,50,2,youtube_invidious
56,ukrainian,Motherland Monument Kyiv,2021,50,3,youtube_invidious
56,russian,Motherland Monument Kiev,2022,50,2,youtube_invidious
56,ukrainian,Motherland Monument Kyiv,2022,50,2,youtube_invidious
56,russian,Motherland Monument Kiev,2023,50,0,youtube_invidious
56,ukrainian,Motherland Monument Kyiv,2023,50,2,youtube_invidious
56,russian,Motherland Monument Kiev,2024,50,1,youtube_invidious
56,ukrainian,Motherland Monument Kyiv,2024,50,2,youtube_invidious
56,russian,Motherland Monument Kiev,2025,50,0,youtube_invidious
56,ukrainian,Motherland Monument Kyiv,2025,50,0,youtube_invidious
56,russian,Motherland Monument Kiev,2026,50,0,youtube_invidious
56,ukrainian,Motherland Monument Kyiv,2026,50,0,youtube_invidious
