pair_id,variant,term,year,search_results,title_matches,source
9,russian,Rovno,2010,50,14,youtube_invidious
9,ukrainian,Rivne,2010,50,29,youtube_invidious
9,russian,Rovno,2011,50,19,youtube_invidious
9,ukrainian,Rivne,2011,50,34,youtube_invidious
9,russian,Rovno,2012,50,8,youtube_invidious
9,ukrainian,Rivne,2012,50,33,youtube_invidious
9,russian,Rovno,2013,50,30,youtube_invidious
9,ukrainian,Rivne,2013,50,40,youtube_invidious
9,russian,Rovno,2014,50,5,youtube_invidious
9,ukrainian,Rivne,2014,50,47,youtube_invidious
9,russian,Rovno,2015,50,4,youtube_invidious
9,ukrainian,Rivne,2015,50,37,youtube_invidious
9,russian,Rovno,2016,50,8,youtube_invidious
9,ukrainian,Rivne,2016,50,46,youtube_invidious
9,russian,Rovno,2017,50,7,youtube_invidious
9,ukrainian,Rivne,2017,50,49,youtube_invidious
9,russian,Rovno,2018,50,2,youtube_invidious
9,ukrainian,Rivne,2018,50,50,youtube_invidious
9,russian,Rovno,2019,50,6,youtube_invidious
9,ukrainian,Rivne,2019,50,46,youtube_invidious
9,russian,Rovno,2020,50,4,youtube_invidious
9,ukrainian,Rivne,2020,50,30,youtube_invidious
9,russian,Rovno,2021,50,6,youtube_invidious
9,ukrainian,Rivne,2021,50,44,youtube_invidious
9,russian,Rovno,2022,50,2,youtube_invidious
9,ukrainian,Rivne,2022,50,39,youtube_invidious
9,russian,Rovno,2023,50,5,youtube_invidious
9,ukrainian,Rivne,2023,50,44,youtube_invidious
9,russian,Rovno,2024,50,2,youtube_invidious
9,ukrainian,Rivne,2024,50,46,youtube_invidious
9,russian,Rovno,2025,50,4,youtube_invidious
9,ukrainian,Rivne,2025,50,47,youtube_invidious
9,russian,Rovno,2026,50,32,youtube_invidious
9,ukrainian,Rivne,2026,50,9,youtube_invidious
