pair_id,variant,term,year,search_results,title_matches,source
6,russian,Nikolaev,2010,20,18,youtube_invidious
6,ukrainian,Mykolaiv,2010,20,2,youtube_invidious
6,russian,Nikolaev,2011,20,18,youtube_invidious
6,ukrainian,Mykolaiv,2011,20,9,youtube_invidious
6,russian,Nikolaev,2012,20,17,youtube_invidious
6,ukrainian,Mykolaiv,2012,20,5,youtube_invidious
6,russian,Nikolaev,2013,20,19,youtube_invidious
6,ukrainian,Mykolaiv,2013,20,15,youtube_invidious
6,russian,Nikolaev,2014,20,20,youtube_invidious
6,ukrainian,Mykolaiv,2014,20,20,youtube_invidious
6,russian,Nikolaev,2015,20,19,youtube_invidious
6,ukrainian,Mykolaiv,2015,20,12,youtube_invidious
6,russian,Nikolaev,2016,20,17,youtube_invidious
6,ukrainian,Mykolaiv,2016,20,15,youtube_invidious
6,russian,Nikolaev,2017,20,17,youtube_invidious
6,ukrainian,Mykolaiv,2017,20,16,youtube_invidious
6,russian,Nikolaev,2018,20,20,youtube_invidious
6,ukrainian,Mykolaiv,2018,20,13,youtube_invidious
6,russian,Nikolaev,2019,20,20,youtube_invidious
6,ukrainian,Mykolaiv,2019,20,14,youtube_invidious
6,russian,Nikolaev,2020,20,10,youtube_invidious
6,ukrainian,Mykolaiv,2020,20,20,youtube_invidious
6,russian,Nikolaev,2021,20,17,youtube_invidious
6,ukrainian,Mykolaiv,2021,20,18,youtube_invidious
6,russian,Nikolaev,2022,20,19,youtube_invidious
6,ukrainian,Mykolaiv,2022,20,20,youtube_invidious
6,russian,Nikolaev,2023,20,15,youtube_invidious
6,ukrainian,Mykolaiv,2023,20,20,youtube_invidious
6,russian,Nikolaev,2024,20,18,youtube_invidious
6,ukrainian,Mykolaiv,2024,20,20,youtube_invidious
6,russian,Nikolaev,2025,20,10,youtube_invidious
6,ukrainian,Mykolaiv,2025,20,19,youtube_invidious
6,russian,Nikolaev,2026,20,12,youtube_invidious
6,ukrainian,Mykolaiv,2026,20,19,youtube_invidious
