pair_id,variant,term,year,search_results,title_matches,source
54,russian,Babi Yar,2010,50,41,youtube_invidious
54,ukrainian,Babyn Yar,2010,50,6,youtube_invidious
54,russian,Babi Yar,2011,50,31,youtube_invidious
54,ukrainian,Babyn Yar,2011,50,1,youtube_invidious
54,russian,Babi Yar,2012,50,24,youtube_invidious
54,ukrainian,Babyn Yar,2012,50,6,youtube_invidious
54,russian,Babi Yar,2013,50,40,youtube_invidious
54,ukrainian,Babyn Yar,2013,50,14,youtube_invidious
54,russian,Babi Yar,2014,50,43,youtube_invidious
54,ukrainian,Babyn Yar,2014,50,13,youtube_invidious
54,russian,Babi Yar,2015,50,39,youtube_invidious
54,ukrainian,Babyn Yar,2015,50,15,youtube_invidious
54,russian,Babi Yar,2016,50,38,youtube_invidious
54,ukrainian,Babyn Yar,2016,50,31,youtube_invidious
54,russian,Babi Yar,2017,50,42,youtube_invidious
54,ukrainian,Babyn Yar,2017,50,11,youtube_invidious
54,russian,Babi Yar,2018,50,40,youtube_invidious
54,ukrainian,Babyn Yar,2018,50,3,youtube_invidious
54,russian,Babi Yar,2019,50,40,youtube_invidious
54,ukrainian,Babyn Yar,2019,50,22,youtube_invidious
54,russian,Babi Yar,2020,50,31,youtube_invidious
54,ukrainian,Babyn Yar,2020,50,24,youtube_invidious
54,russian,Babi Yar,2021,50,34,youtube_invidious
54,ukrainian,Babyn Yar,2021,50,31,youtube_invidious
54,russian,Babi Yar,2022,50,35,youtube_invidious
54,ukrainian,Babyn Yar,2022,50,24,youtube_invidious
54,russian,Babi Yar,2023,50,43,youtube_invidious
54,ukrainian,Babyn Yar,2023,50,23,youtube_invidious
54,russian,Babi Yar,2024,50,35,youtube_invidious
54,ukrainian,Babyn Yar,2024,50,24,youtube_invidious
54,russian,Babi Yar,2025,50,38,youtube_invidious
54,ukrainian,Babyn Yar,2025,50,17,youtube_invidious
54,russian,Babi Yar,2026,50,18,youtube_invidious
54,ukrainian,Babyn Yar,2026,50,1,youtube_invidious
