pair_id,variant,term,year,search_results,title_matches,source
3,russian,Odessa Ukraine,2010,50,13,youtube_invidious
3,ukrainian,Odesa Ukraine,2010,50,1,youtube_invidious
3,russian,Odessa Ukraine,2011,50,6,youtube_invidious
3,ukrainian,Odesa Ukraine,2011,50,1,youtube_invidious
3,russian,Odessa Ukraine,2012,50,6,youtube_invidious
3,ukrainian,Odesa Ukraine,2012,50,0,youtube_invidious
3,russian,Odessa Ukraine,2013,50,5,youtube_invidious
3,ukrainian,Odesa Ukraine,2013,50,0,youtube_invidious
3,russian,Odessa Ukraine,2014,50,1,youtube_invidious
3,ukrainian,Odesa Ukraine,2014,50,0,youtube_invidious
3,russian,Odessa Ukraine,2015,50,8,youtube_invidious
3,ukrainian,Odesa Ukraine,2015,50,0,youtube_invidious
3,russian,Odessa Ukraine,2016,50,11,youtube_invidious
3,ukrainian,Odesa Ukraine,2016,50,0,youtube_invidious
3,russian,Odessa Ukraine,2017,50,20,youtube_invidious
3,ukrainian,Odesa Ukraine,2017,50,0,youtube_invidious
3,russian,Odessa Ukraine,2018,50,16,youtube_invidious
3,ukrainian,Odesa Ukraine,2018,50,1,youtube_invidious
3,russian,Odessa Ukraine,2019,50,10,youtube_invidious
3,ukrainian,Odesa Ukraine,2019,50,2,youtube_invidious
3,russian,Odessa Ukraine,2020,50,8,youtube_invidious
3,ukrainian,Odesa Ukraine,2020,50,0,youtube_invidious
3,russian,Odessa Ukraine,2021,50,19,youtube_invidious
3,ukrainian,Odesa Ukraine,2021,50,2,youtube_invidious
3,russian,Odessa Ukraine,2022,50,3,youtube_invidious
3,ukrainian,Odesa Ukraine,2022,50,0,youtube_invidious
3,russian,Odessa Ukraine,2023,50,3,youtube_invidious
3,ukrainian,Odesa Ukraine,2023,50,3,youtube_invidious
3,russian,Odessa Ukraine,2024,50,2,youtube_invidious
3,ukrainian,Odesa Ukraine,2024,50,5,youtube_invidious
3,russian,Odessa Ukraine,2025,50,2,youtube_invidious
3,ukrainian,Odesa Ukraine,2025,50,0,youtube_invidious
3,russian,Odessa Ukraine,2026,50,0,youtube_invidious
3,ukrainian,Odesa Ukraine,2026,50,1,youtube_invidious
