year,frequency,term,variant,pair_id
1900,0.0,Olga of Kiev,russian,83
1901,0.0,Olga of Kiev,russian,83
1902,0.0,Olga of Kiev,russian,83
1903,0.0,Olga of Kiev,russian,83
1904,0.0,Olga of Kiev,russian,83
1905,0.0,Olga of Kiev,russian,83
1906,0.0,Olga of Kiev,russian,83
1907,0.0,Olga of Kiev,russian,83
1908,0.0,Olga of Kiev,russian,83
1909,0.0,Olga of Kiev,russian,83
1910,0.0,Olga of Kiev,russian,83
1911,0.0,Olga of Kiev,russian,83
1912,0.0,Olga of Kiev,russian,83
1913,0.0,Olga of Kiev,russian,83
1914,0.0,Olga of Kiev,russian,83
1915,3.225534284112541e-10,Olga of Kiev,russian,83
1916,1.1750129758070216e-09,Olga of Kiev,russian,83
1917,0.0,Olga of Kiev,russian,83
1918,0.0,Olga of Kiev,russian,83
1919,0.0,Olga of Kiev,russian,83
1920,1.0357741747624161e-10,Olga of Kiev,russian,83
1921,0.0,Olga of Kiev,russian,83
1922,0.0,Olga of Kiev,russian,83
1923,0.0,Olga of Kiev,russian,83
1924,0.0,Olga of Kiev,russian,83
1925,0.0,Olga of Kiev,russian,83
1926,0.0,Olga of Kiev,russian,83
1927,1.361043222569691e-10,Olga of Kiev,russian,83
1928,0.0,Olga of Kiev,russian,83
1929,1.2544590366481145e-10,Olga of Kiev,russian,83
1930,1.2027148721394099e-10,Olga of Kiev,russian,83
1931,4.994732960561521e-10,Olga of Kiev,russian,83
1932,0.0,Olga of Kiev,russian,83
1933,2.991838443655581e-10,Olga of Kiev,russian,83
1934,4.2829612079131607e-10,Olga of Kiev,russian,83
1935,1.3414129529376595e-10,Olga of Kiev,russian,83
1936,0.0,Olga of Kiev,russian,83
1937,0.0,Olga of Kiev,russian,83
1938,0.0,Olga of Kiev,russian,83
1939,3.5987979263296666e-10,Olga of Kiev,russian,83
1940,0.0,Olga of Kiev,russian,83
1941,0.0,Olga of Kiev,russian,83
1942,0.0,Olga of Kiev,russian,83
1943,0.0,Olga of Kiev,russian,83
1944,1.4382599278217612e-10,Olga of Kiev,russian,83
1945,0.0,Olga of Kiev,russian,83
1946,0.0,Olga of Kiev,russian,83
1947,0.0,Olga of Kiev,russian,83
1948,0.0,Olga of Kiev,russian,83
1949,3.808065529575799e-10,Olga of Kiev,russian,83
1950,9.248170285136581e-11,Olga of Kiev,russian,83
1951,0.0,Olga of Kiev,russian,83
1952,9.534580069914256e-11,Olga of Kiev,russian,83
1953,0.0,Olga of Kiev,russian,83
1954,9.330970024423735e-11,Olga of Kiev,russian,83
1955,8.79776182460823e-11,Olga of Kiev,russian,83
1956,0.0,Olga of Kiev,russian,83
1957,2.4343729809750414e-10,Olga of Kiev,russian,83
1958,0.0,Olga of Kiev,russian,83
1959,7.641352134379886e-11,Olga of Kiev,russian,83
1960,7.208669078329066e-11,Olga of Kiev,russian,83
1961,4.122398256090065e-10,Olga of Kiev,russian,83
1962,2.0224552588210543e-10,Olga of Kiev,russian,83
1963,5.220239795988846e-10,Olga of Kiev,russian,83
1964,7.140436575348019e-10,Olga of Kiev,russian,83
1965,1.503495938859345e-10,Olga of Kiev,russian,83
1966,0.0,Olga of Kiev,russian,83
1967,1.94052857116489e-10,Olga of Kiev,russian,83
1968,3.7856490164855927e-10,Olga of Kiev,russian,83
1969,6.460620233239567e-11,Olga of Kiev,russian,83
1970,1.2815989935965888e-10,Olga of Kiev,russian,83
1971,1.2621007017266095e-10,Olga of Kiev,russian,83
1972,6.437404775905264e-11,Olga of Kiev,russian,83
1973,2.504620677523661e-10,Olga of Kiev,russian,83
1974,0.0,Olga of Kiev,russian,83
1975,1.2346434985488486e-10,Olga of Kiev,russian,83
