year,frequency,term,variant,pair_id
1900,7.881572727796993e-09,Chernobyl,russian,10
1901,3.810901816336809e-09,Chernobyl,russian,10
1902,1.1871924276984913e-10,Chernobyl,russian,10
1903,1.1530952581662035e-10,Chernobyl,russian,10
1904,3.439294959939332e-10,Chernobyl,russian,10
1905,3.318186836409609e-10,Chernobyl,russian,10
1906,1.0483360707302936e-10,Chernobyl,russian,10
1907,2.124574960404857e-10,Chernobyl,russian,10
1908,0.0,Chernobyl,russian,10
1909,0.0,Chernobyl,russian,10
1910,0.0,Chernobyl,russian,10
1911,0.0,Chernobyl,russian,10
1912,6.300566735006896e-10,Chernobyl,russian,10
1913,0.0,Chernobyl,russian,10
1914,2.5610452647484294e-10,Chernobyl,russian,10
1915,0.0,Chernobyl,russian,10
1916,7.139898117181076e-10,Chernobyl,russian,10
1917,0.0,Chernobyl,russian,10
1918,9.715995785697373e-10,Chernobyl,russian,10
1919,2.7316002237931514e-10,Chernobyl,russian,10
1920,1.7294594645278494e-09,Chernobyl,russian,10
1921,8.645116567063127e-11,Chernobyl,russian,10
1922,8.58466908670863e-10,Chernobyl,russian,10
1923,0.0,Chernobyl,russian,10
1924,0.0,Chernobyl,russian,10
1925,2.416881417222072e-10,Chernobyl,russian,10
1926,4.170722434082563e-09,Chernobyl,russian,10
1927,0.0,Chernobyl,russian,10
1928,0.0,Chernobyl,russian,10
1929,2.948219002263386e-09,Chernobyl,russian,10
1930,0.0,Chernobyl,russian,10
1931,1.2403964078089302e-08,Chernobyl,russian,10
1932,5.619351650665294e-10,Chernobyl,russian,10
1933,6.267945051874335e-10,Chernobyl,russian,10
1934,7.18268611255013e-10,Chernobyl,russian,10
1935,1.4632967060279611e-09,Chernobyl,russian,10
1936,1.3129251019705634e-09,Chernobyl,russian,10
1937,3.1298574842963944e-10,Chernobyl,russian,10
1938,6.293023879777593e-10,Chernobyl,russian,10
1939,9.046692284186975e-10,Chernobyl,russian,10
1940,0.0,Chernobyl,russian,10
1941,4.144248832993469e-10,Chernobyl,russian,10
1942,5.318360862816007e-09,Chernobyl,russian,10
1943,4.458406976937113e-09,Chernobyl,russian,10
1944,4.831616218226031e-10,Chernobyl,russian,10
1945,1.3965826273221182e-09,Chernobyl,russian,10
1946,2.000271308588708e-07,Chernobyl,russian,10
1947,2.4429322564856193e-08,Chernobyl,russian,10
1948,1.6356013210483411e-09,Chernobyl,russian,10
1949,1.4402586900885694e-09,Chernobyl,russian,10
1950,3.8668672708297436e-09,Chernobyl,russian,10
1951,4.773788586653893e-10,Chernobyl,russian,10
1952,9.5763375007607e-10,Chernobyl,russian,10
1953,3.903482426181881e-09,Chernobyl,russian,10
1954,2.894200656911039e-09,Chernobyl,russian,10
1955,4.70978545052958e-09,Chernobyl,russian,10
1956,3.2494240631564253e-09,Chernobyl,russian,10
1957,8.677922380684322e-09,Chernobyl,russian,10
1958,3.621057587110954e-08,Chernobyl,russian,10
1959,3.3215523664864577e-09,Chernobyl,russian,10
1960,1.2721466546850024e-08,Chernobyl,russian,10
1961,2.4041315604961255e-09,Chernobyl,russian,10
1962,3.883310562002862e-09,Chernobyl,russian,10
1963,2.8773705640361413e-09,Chernobyl,russian,10
1964,8.44711411929211e-09,Chernobyl,russian,10
1965,3.666599113216762e-08,Chernobyl,russian,10
1966,3.847253626787506e-09,Chernobyl,russian,10
1967,5.465736663268217e-08,Chernobyl,russian,10
1968,2.0083747998000945e-08,Chernobyl,russian,10
1969,9.959093105749162e-09,Chernobyl,russian,10
1970,5.99045932858644e-08,Chernobyl,russian,10
1971,8.106243676309077e-09,Chernobyl,russian,10
1972,1.2236385238395542e-08,Chernobyl,russian,10
1973,5.740287356559293e-09,Chernobyl,russian,10
1974,1.0822612139804733e-08,Chernobyl,russian,10
1975,2.093425166549423e-08,Chernobyl,russian,10
1976,1.914711411643566e-08,Chernobyl,russian,10
1977,2.400771492716558e-08,Chernobyl,russian,10
1978,2.9035643223096486e-08,Chernobyl,russian,10
1979,1.309290382778272e-07,Chernobyl,russian,10
1980,4.9380222577610766e-08,Chernobyl,russian,10
1981,4.5116347990870054e-08,Chernobyl,russian,10
1982,4.7706681272075e-08,Chernobyl,russian,10
1983,8.716737909253425e-08,Chernobyl,russian,10
1984,1.0501343439273114e-07,Chernobyl,russian,10
1985,4.987543889001245e-07,Chernobyl,russian,10
1986,2.924078216892667e-06,Chernobyl,russian,10
1987,2.9186003303038888e-06,Chernobyl,russian,10
1988,2.5129434106929693e-06,Chernobyl,russian,10
1989,2.0904637949570315e-06,Chernobyl,russian,10
1990,2.114758672178141e-06,Chernobyl,russian,10
1991,1.939537696671323e-06,Chernobyl,russian,10
1992,1.889949544420233e-06,Chernobyl,russian,10
1993,1.5969593505360535e-06,Chernobyl,russian,10
1994,1.6713428294679034e-06,Chernobyl,russian,10
1995,1.8626960809342563e-06,Chernobyl,russian,10
1996,2.3020870685286354e-06,Chernobyl,russian,10
1997,9.886647376333713e-07,Chernobyl,russian,10
1998,8.648277685097128e-07,Chernobyl,russian,10
1999,8.595753229201364e-07,Chernobyl,russian,10
2000,8.820271091281029e-07,Chernobyl,russian,10
2001,6.459731594077311e-07,Chernobyl,russian,10
2002,7.578529448437621e-07,Chernobyl,russian,10
2003,6.351594379339076e-07,Chernobyl,russian,10
2004,5.627489940707164e-07,Chernobyl,russian,10
2005,5.5486742667199e-07,Chernobyl,russian,10
2006,8.742312616050185e-07,Chernobyl,russian,10
2007,6.19991169514833e-07,Chernobyl,russian,10
2008,5.66997982787143e-07,Chernobyl,russian,10
2009,6.013403321958322e-07,Chernobyl,russian,10
2010,5.946688474978146e-07,Chernobyl,russian,10
2011,5.695565619134868e-07,Chernobyl,russian,10
2012,6.893656632200873e-07,Chernobyl,russian,10
2013,6.689712677143689e-07,Chernobyl,russian,10
2014,5.387468604567403e-07,Chernobyl,russian,10
2015,5.402623628469883e-07,Chernobyl,russian,10
2016,5.668063067787443e-07,Chernobyl,russian,10
2017,6.560866268046084e-07,Chernobyl,russian,10
2018,6.053334118405473e-07,Chernobyl,russian,10
2019,6.549356044160959e-07,Chernobyl,russian,10
2020,6.948898203518183e-07,Chernobyl,russian,10
2021,6.035691058059456e-07,Chernobyl,russian,10
2022,6.380666377481248e-07,Chernobyl,russian,10
1900,0.0,Chornobyl,ukrainian,10
1901,0.0,Chornobyl,ukrainian,10
1902,0.0,Chornobyl,ukrainian,10
1903,0.0,Chornobyl,ukrainian,10
1904,0.0,Chornobyl,ukrainian,10
1905,0.0,Chornobyl,ukrainian,10
1906,0.0,Chornobyl,ukrainian,10
1907,0.0,Chornobyl,ukrainian,10
1908,0.0,Chornobyl,ukrainian,10
1909,0.0,Chornobyl,ukrainian,10
1910,0.0,Chornobyl,ukrainian,10
1911,0.0,Chornobyl,ukrainian,10
1912,0.0,Chornobyl,ukrainian,10
1913,0.0,Chornobyl,ukrainian,10
1914,0.0,Chornobyl,ukrainian,10
1915,0.0,Chornobyl,ukrainian,10
1916,0.0,Chornobyl,ukrainian,10
1917,0.0,Chornobyl,ukrainian,10
1918,0.0,Chornobyl,ukrainian,10
1919,0.0,Chornobyl,ukrainian,10
1920,0.0,Chornobyl,ukrainian,10
1921,0.0,Chornobyl,ukrainian,10
1922,0.0,Chornobyl,ukrainian,10
