year,frequency,term,variant,pair_id
1900,0.0,Chernobyl Exclusion Zone,russian,26
1901,0.0,Chernobyl Exclusion Zone,russian,26
1902,0.0,Chernobyl Exclusion Zone,russian,26
1903,0.0,Chernobyl Exclusion Zone,russian,26
1904,0.0,Chernobyl Exclusion Zone,russian,26
1905,0.0,Chernobyl Exclusion Zone,russian,26
1906,0.0,Chernobyl Exclusion Zone,russian,26
1907,0.0,Chernobyl Exclusion Zone,russian,26
1908,0.0,Chernobyl Exclusion Zone,russian,26
1909,0.0,Chernobyl Exclusion Zone,russian,26
1910,0.0,Chernobyl Exclusion Zone,russian,26
1911,0.0,Chernobyl Exclusion Zone,russian,26
1912,0.0,Chernobyl Exclusion Zone,russian,26
1913,0.0,Chernobyl Exclusion Zone,russian,26
1914,0.0,Chernobyl Exclusion Zone,russian,26
1915,0.0,Chernobyl Exclusion Zone,russian,26
1916,0.0,Chernobyl Exclusion Zone,russian,26
1917,0.0,Chernobyl Exclusion Zone,russian,26
1918,0.0,Chernobyl Exclusion Zone,russian,26
1919,0.0,Chernobyl Exclusion Zone,russian,26
1920,0.0,Chernobyl Exclusion Zone,russian,26
1921,0.0,Chernobyl Exclusion Zone,russian,26
1922,0.0,Chernobyl Exclusion Zone,russian,26
1923,0.0,Chernobyl Exclusion Zone,russian,26
1924,0.0,Chernobyl Exclusion Zone,russian,26
1925,0.0,Chernobyl Exclusion Zone,russian,26
1926,0.0,Chernobyl Exclusion Zone,russian,26
1927,0.0,Chernobyl Exclusion Zone,russian,26
1928,0.0,Chernobyl Exclusion Zone,russian,26
1929,0.0,Chernobyl Exclusion Zone,russian,26
1930,0.0,Chernobyl Exclusion Zone,russian,26
1931,0.0,Chernobyl Exclusion Zone,russian,26
1932,0.0,Chernobyl Exclusion Zone,russian,26
1933,0.0,Chernobyl Exclusion Zone,russian,26
1934,0.0,Chernobyl Exclusion Zone,russian,26
1935,0.0,Chernobyl Exclusion Zone,russian,26
1936,0.0,Chernobyl Exclusion Zone,russian,26
1937,0.0,Chernobyl Exclusion Zone,russian,26
1938,0.0,Chernobyl Exclusion Zone,russian,26
1939,0.0,Chernobyl Exclusion Zone,russian,26
1940,0.0,Chernobyl Exclusion Zone,russian,26
1941,0.0,Chernobyl Exclusion Zone,russian,26
1942,0.0,Chernobyl Exclusion Zone,russian,26
1943,0.0,Chernobyl Exclusion Zone,russian,26
1944,0.0,Chernobyl Exclusion Zone,russian,26
1945,0.0,Chernobyl Exclusion Zone,russian,26
1946,0.0,Chernobyl Exclusion Zone,russian,26
1947,1.0732561367410298e-10,Chernobyl Exclusion Zone,russian,26
1948,0.0,Chernobyl Exclusion Zone,russian,26
1949,0.0,Chernobyl Exclusion Zone,russian,26
1950,0.0,Chernobyl Exclusion Zone,russian,26
1951,0.0,Chernobyl Exclusion Zone,russian,26
1952,0.0,Chernobyl Exclusion Zone,russian,26
1953,0.0,Chernobyl Exclusion Zone,russian,26
1954,0.0,Chernobyl Exclusion Zone,russian,26
1955,0.0,Chernobyl Exclusion Zone,russian,26
1956,0.0,Chernobyl Exclusion Zone,russian,26
1957,0.0,Chernobyl Exclusion Zone,russian,26
1958,0.0,Chernobyl Exclusion Zone,russian,26
1959,0.0,Chernobyl Exclusion Zone,russian,26
1960,0.0,Chernobyl Exclusion Zone,russian,26
1961,0.0,Chernobyl Exclusion Zone,russian,26
1962,0.0,Chernobyl Exclusion Zone,russian,26
1963,0.0,Chernobyl Exclusion Zone,russian,26
1964,0.0,Chernobyl Exclusion Zone,russian,26
1965,0.0,Chernobyl Exclusion Zone,russian,26
1966,0.0,Chernobyl Exclusion Zone,russian,26
1967,0.0,Chernobyl Exclusion Zone,russian,26
1968,0.0,Chernobyl Exclusion Zone,russian,26
1969,0.0,Chernobyl Exclusion Zone,russian,26
1970,0.0,Chernobyl Exclusion Zone,russian,26
1971,0.0,Chernobyl Exclusion Zone,russian,26
1972,0.0,Chernobyl Exclusion Zone,russian,26
1973,0.0,Chernobyl Exclusion Zone,russian,26
1974,6.344166858518463e-11,Chernobyl Exclusion Zone,russian,26
1975,0.0,Chernobyl Exclusion Zone,russian,26
1976,0.0,Chernobyl Exclusion Zone,russian,26
1977,0.0,Chernobyl Exclusion Zone,russian,26
1978,0.0,Chernobyl Exclusion Zone,russian,26
1979,0.0,Chernobyl Exclusion Zone,russian,26
1980,0.0,Chernobyl Exclusion Zone,russian,26
1981,0.0,Chernobyl Exclusion Zone,russian,26
1982,0.0,Chernobyl Exclusion Zone,russian,26
1983,5.5787090225134506e-11,Chernobyl Exclusion Zone,russian,26
1984,0.0,Chernobyl Exclusion Zone,russian,26
1985,0.0,Chernobyl Exclusion Zone,russian,26
1986,0.0,Chernobyl Exclusion Zone,russian,26
1987,0.0,Chernobyl Exclusion Zone,russian,26
1988,0.0,Chernobyl Exclusion Zone,russian,26
1989,0.0,Chernobyl Exclusion Zone,russian,26
1990,0.0,Chernobyl Exclusion Zone,russian,26
1991,4.977840362130337e-11,Chernobyl Exclusion Zone,russian,26
1992,0.0,Chernobyl Exclusion Zone,russian,26
1993,0.0,Chernobyl Exclusion Zone,russian,26
1994,2.9415753166617264e-10,Chernobyl Exclusion Zone,russian,26
1995,0.0,Chernobyl Exclusion Zone,russian,26
1996,7.906608145979988e-10,Chernobyl Exclusion Zone,russian,26
