year,frequency,term,variant,pair_id
1900,4.466224723387313e-08,Mariupol,both,13
1901,3.739447507200566e-08,Mariupol,both,13
1902,6.12591293247533e-08,Mariupol,both,13
1903,4.012771626094036e-08,Mariupol,both,13
1904,4.402297548722345e-08,Mariupol,both,13
1905,4.114551543921152e-08,Mariupol,both,13
1906,2.568423340676418e-08,Mariupol,both,13
1907,2.8575533050911872e-08,Mariupol,both,13
1908,4.021387667307863e-08,Mariupol,both,13
1909,4.8813632247401983e-08,Mariupol,both,13
1910,4.473901782375833e-08,Mariupol,both,13
1911,3.4981493257646434e-08,Mariupol,both,13
1912,5.058454988215999e-08,Mariupol,both,13
1913,3.3891833339794175e-08,Mariupol,both,13
1914,3.243990320811463e-08,Mariupol,both,13
1915,4.158644628660113e-08,Mariupol,both,13
1916,2.2401430044283188e-08,Mariupol,both,13
1917,2.54867309479323e-08,Mariupol,both,13
1918,1.836323093584724e-08,Mariupol,both,13
1919,1.3293787404222712e-08,Mariupol,both,13
1920,2.974670287869685e-08,Mariupol,both,13
1921,1.6512172962279692e-08,Mariupol,both,13
1922,2.1461673327394237e-08,Mariupol,both,13
1923,1.3410003774083634e-08,Mariupol,both,13
1924,1.7614143033028995e-08,Mariupol,both,13
1925,3.3232119278636674e-08,Mariupol,both,13
1926,4.407439035958305e-08,Mariupol,both,13
1927,2.6120410723251553e-08,Mariupol,both,13
1928,1.0625671009734106e-08,Mariupol,both,13
1929,1.9058131073279583e-08,Mariupol,both,13
1930,2.0216850415977206e-08,Mariupol,both,13
1931,2.918579689037415e-08,Mariupol,both,13
1932,3.225507683168871e-08,Mariupol,both,13
1933,4.02402093868659e-08,Mariupol,both,13
1934,7.326340067947967e-08,Mariupol,both,13
1935,5.954492010573631e-08,Mariupol,both,13
1936,2.9165693860022657e-08,Mariupol,both,13
1937,3.672366233331559e-08,Mariupol,both,13
1938,2.5696513361594953e-08,Mariupol,both,13
1939,2.6034369327021523e-08,Mariupol,both,13
1940,1.4650182400544054e-08,Mariupol,both,13
1941,4.48614940751213e-08,Mariupol,both,13
1942,6.75875000410997e-08,Mariupol,both,13
1943,8.095528158946763e-08,Mariupol,both,13
1944,4.0464787076643915e-08,Mariupol,both,13
1945,3.456542074786739e-08,Mariupol,both,13
1946,2.6560821098087217e-08,Mariupol,both,13
1947,2.208554938931684e-08,Mariupol,both,13
1948,2.384534525390336e-08,Mariupol,both,13
1949,1.7523147377573878e-08,Mariupol,both,13
1950,1.693687856629822e-08,Mariupol,both,13
1951,1.4241802404058035e-08,Mariupol,both,13
1952,1.109259173404098e-08,Mariupol,both,13
1953,9.083103158502581e-09,Mariupol,both,13
1954,7.27461246796679e-09,Mariupol,both,13
1955,1.3614223526303704e-08,Mariupol,both,13
1956,1.9072706081146862e-08,Mariupol,both,13
1957,1.4711790008448133e-08,Mariupol,both,13
1958,1.4289997629646223e-08,Mariupol,both,13
1959,8.112253091496768e-09,Mariupol,both,13
1960,1.2421431883069545e-08,Mariupol,both,13
1961,1.0246179904527253e-08,Mariupol,both,13
1962,7.485222219827392e-09,Mariupol,both,13
1963,9.663621902689101e-09,Mariupol,both,13
1964,1.5574366685200403e-08,Mariupol,both,13
1965,8.161950226792669e-09,Mariupol,both,13
1966,1.1175355751902316e-08,Mariupol,both,13
1967,9.740916517841924e-09,Mariupol,both,13
1968,1.3441878721209832e-08,Mariupol,both,13
1969,8.714206245485911e-09,Mariupol,both,13
1970,1.293212381625608e-08,Mariupol,both,13
1971,5.986964701776287e-09,Mariupol,both,13
1972,8.425931952160681e-09,Mariupol,both,13
1973,9.70630420482621e-09,Mariupol,both,13
1974,1.4111837920438575e-08,Mariupol,both,13
1975,8.765573156210849e-09,Mariupol,both,13
1976,1.2781065095168742e-08,Mariupol,both,13
1977,7.93803422993733e-09,Mariupol,both,13
1978,1.5979031431356816e-08,Mariupol,both,13
1979,7.3284511792337526e-09,Mariupol,both,13
1980,8.864351919157798e-09,Mariupol,both,13
1981,4.463638791918356e-09,Mariupol,both,13
1982,6.176094302645652e-09,Mariupol,both,13
1983,5.471342934271206e-09,Mariupol,both,13
1984,6.15847683960169e-09,Mariupol,both,13
1985,5.336466379901594e-09,Mariupol,both,13
1986,9.818319490761951e-09,Mariupol,both,13
1987,1.0663736560445614e-08,Mariupol,both,13
1988,6.663243734550406e-09,Mariupol,both,13
1989,1.2560690265672747e-08,Mariupol,both,13
1990,1.9412921048456155e-08,Mariupol,both,13
1991,2.1353629975351396e-08,Mariupol,both,13
1992,2.5675653603229875e-08,Mariupol,both,13
1993,3.14452250904651e-08,Mariupol,both,13
1994,3.035726336975131e-08,Mariupol,both,13
1995,2.8725091638648337e-08,Mariupol,both,13
1996,2.489531780724974e-08,Mariupol,both,13
1997,2.102909313350665e-08,Mariupol,both,13
1998,2.06733439256368e-08,Mariupol,both,13
1999,2.2405792776680755e-08,Mariupol,both,13
2000,1.707930685768133e-08,Mariupol,both,13
2001,2.672563859107413e-08,Mariupol,both,13
2002,2.096922635530518e-08,Mariupol,both,13
2003,1.9059839928559086e-08,Mariupol,both,13
2004,2.1779991143944244e-08,Mariupol,both,13
2005,2.834178935984255e-08,Mariupol,both,13
2006,1.3768392648216832e-08,Mariupol,both,13
2007,1.8717631888875985e-08,Mariupol,both,13
2008,1.7414306441310146e-08,Mariupol,both,13
2009,1.2327544318679884e-08,Mariupol,both,13
2010,1.1294027935093709e-08,Mariupol,both,13
2011,9.766604414096491e-09,Mariupol,both,13
2012,1.0540957440241527e-08,Mariupol,both,13
2013,1.445862451987523e-08,Mariupol,both,13
2014,1.6666058755276936e-08,Mariupol,both,13
2015,2.317286273978425e-08,Mariupol,both,13
2016,3.1972007263902924e-08,Mariupol,both,13
2017,3.2784583936518175e-08,Mariupol,both,13
2018,1.824126627525402e-08,Mariupol,both,13
2019,2.5905338318921167e-08,Mariupol,both,13
2020,3.318666941254378e-08,Mariupol,both,13
2021,2.797917098007474e-08,Mariupol,both,13
2022,7.293555626119996e-08,Mariupol,both,13
