date,article,views,label,variant
2024-04-09,Chernobyl,1273,Chernobyl (city),ukrainian
2024-04-10,Chernobyl,1074,Chernobyl (city),ukrainian
2024-04-11,Chernobyl,1180,Chernobyl (city),ukrainian
2024-04-12,Chernobyl,1230,Chernobyl (city),ukrainian
2024-04-13,Chernobyl,1011,Chernobyl (city),ukrainian
2024-04-14,Chernobyl,1118,Chernobyl (city),ukrainian
2024-04-15,Chernobyl,1327,Chernobyl (city),ukrainian
2024-04-16,Chernobyl,1171,Chernobyl (city),ukrainian
2024-04-17,Chernobyl,1229,Chernobyl (city),ukrainian
2024-04-18,Chernobyl,1217,Chernobyl (city),ukrainian
2024-04-19,Chernobyl,1135,Chernobyl (city),ukrainian
2024-04-20,Chernobyl,1091,Chernobyl (city),ukrainian
2024-04-21,Chernobyl,1150,Chernobyl (city),ukrainian
2024-04-22,Chernobyl,1380,Chernobyl (city),ukrainian
2024-04-23,Chernobyl,1206,Chernobyl (city),ukrainian
2024-04-24,Chernobyl,1350,Chernobyl (city),ukrainian
2024-04-25,Chernobyl,1666,Chernobyl (city),ukrainian
2024-04-26,Chernobyl,2787,Chernobyl (city),ukrainian
2024-04-27,Chernobyl,2020,Chernobyl (city),ukrainian
2024-04-28,Chernobyl,1730,Chernobyl (city),ukrainian
2024-04-29,Chernobyl,1786,Chernobyl (city),ukrainian
2024-04-30,Chernobyl,1737,Chernobyl (city),ukrainian
2024-05-01,Chernobyl,1632,Chernobyl (city),ukrainian
2024-05-02,Chernobyl,1948,Chernobyl (city),ukrainian
2024-05-03,Chernobyl,1541,Chernobyl (city),ukrainian
2024-05-04,Chernobyl,1101,Chernobyl (city),ukrainian
2024-05-05,Chernobyl,1287,Chernobyl (city),ukrainian
2024-05-06,Chernobyl,1587,Chernobyl (city),ukrainian
2024-05-07,Chernobyl,1686,Chernobyl (city),ukrainian
2024-05-08,Chernobyl,1419,Chernobyl (city),ukrainian
2024-05-09,Chernobyl,1219,Chernobyl (city),ukrainian
2024-05-10,Chernobyl,1132,Chernobyl (city),ukrainian
2024-05-11,Chernobyl,1443,Chernobyl (city),ukrainian
2024-05-12,Chernobyl,1732,Chernobyl (city),ukrainian
2024-05-13,Chernobyl,1484,Chernobyl (city),ukrainian
2024-05-14,Chernobyl,1271,Chernobyl (city),ukrainian
2024-05-15,Chernobyl,1462,Chernobyl (city),ukrainian
2024-05-16,Chernobyl,1355,Chernobyl (city),ukrainian
2024-05-17,Chernobyl,1315,Chernobyl (city),ukrainian
2024-05-18,Chernobyl,1125,Chernobyl (city),ukrainian
2024-05-19,Chernobyl,1221,Chernobyl (city),ukrainian
2024-05-20,Chernobyl,1213,Chernobyl (city),ukrainian
2024-05-21,Chernobyl,1119,Chernobyl (city),ukrainian
2024-05-22,Chernobyl,1099,Chernobyl (city),ukrainian
2024-05-23,Chernobyl,1043,Chernobyl (city),ukrainian
2024-05-24,Chernobyl,977,Chernobyl (city),ukrainian
2024-05-25,Chernobyl,888,Chernobyl (city),ukrainian
2024-05-26,Chernobyl,908,Chernobyl (city),ukrainian
2024-05-27,Chernobyl,1053,Chernobyl (city),ukrainian
2024-05-28,Chernobyl,1187,Chernobyl (city),ukrainian
2024-05-29,Chernobyl,1063,Chernobyl (city),ukrainian
2024-05-30,Chernobyl,1072,Chernobyl (city),ukrainian
2024-05-31,Chernobyl,908,Chernobyl (city),ukrainian
2024-06-01,Chernobyl,912,Chernobyl (city),ukrainian
2024-06-02,Chernobyl,1030,Chernobyl (city),ukrainian
2024-06-03,Chernobyl,1070,Chernobyl (city),ukrainian
2024-06-04,Chernobyl,1120,Chernobyl (city),ukrainian
2024-06-05,Chernobyl,1000,Chernobyl (city),ukrainian
2024-06-06,Chernobyl,1100,Chernobyl (city),ukrainian
2024-06-07,Chernobyl,913,Chernobyl (city),ukrainian
2024-06-08,Chernobyl,922,Chernobyl (city),ukrainian
2024-06-09,Chernobyl,1488,Chernobyl (city),ukrainian
2024-06-10,Chernobyl,1238,Chernobyl (city),ukrainian
2024-06-11,Chernobyl,1028,Chernobyl (city),ukrainian
2024-06-12,Chernobyl,939,Chernobyl (city),ukrainian
2024-06-13,Chernobyl,936,Chernobyl (city),ukrainian
2024-06-14,Chernobyl,927,Chernobyl (city),ukrainian
2024-06-15,Chernobyl,842,Chernobyl (city),ukrainian
2024-06-16,Chernobyl,1147,Chernobyl (city),ukrainian
2024-06-17,Chernobyl,1053,Chernobyl (city),ukrainian
2024-06-18,Chernobyl,923,Chernobyl (city),ukrainian
2024-06-19,Chernobyl,979,Chernobyl (city),ukrainian
2024-06-20,Chernobyl,1000,Chernobyl (city),ukrainian
2024-06-21,Chernobyl,876,Chernobyl (city),ukrainian
2024-06-22,Chernobyl,869,Chernobyl (city),ukrainian
2024-06-23,Chernobyl,967,Chernobyl (city),ukrainian
2024-06-24,Chernobyl,1020,Chernobyl (city),ukrainian
2024-06-25,Chernobyl,855,Chernobyl (city),ukrainian
2024-06-26,Chernobyl,885,Chernobyl (city),ukrainian
2024-06-27,Chernobyl,802,Chernobyl (city),ukrainian
2024-06-28,Chernobyl,788,Chernobyl (city),ukrainian
2024-06-29,Chernobyl,861,Chernobyl (city),ukrainian
