date,article,views,label,variant,pair_id
2015-07-01,FC_Dynamo_Kyiv,34556,Dynamo Kyiv,russian,32
2015-08-01,FC_Dynamo_Kyiv,45293,Dynamo Kyiv,russian,32
2015-09-01,FC_Dynamo_Kyiv,39649,Dynamo Kyiv,russian,32
2015-10-01,FC_Dynamo_Kyiv,38987,Dynamo Kyiv,russian,32
2015-11-01,FC_Dynamo_Kyiv,34892,Dynamo Kyiv,russian,32
2015-12-01,FC_Dynamo_Kyiv,32894,Dynamo Kyiv,russian,32
2016-01-01,FC_Dynamo_Kyiv,28617,Dynamo Kyiv,russian,32
2016-02-01,FC_Dynamo_Kyiv,66884,Dynamo Kyiv,russian,32
2016-03-01,FC_Dynamo_Kyiv,32641,Dynamo Kyiv,russian,32
2016-04-01,FC_Dynamo_Kyiv,30977,Dynamo Kyiv,russian,32
2016-05-01,FC_Dynamo_Kyiv,29075,Dynamo Kyiv,russian,32
2016-06-01,FC_Dynamo_Kyiv,34743,Dynamo Kyiv,russian,32
2016-07-01,FC_Dynamo_Kyiv,30844,Dynamo Kyiv,russian,32
2016-08-01,FC_Dynamo_Kyiv,33688,Dynamo Kyiv,russian,32
2016-09-01,FC_Dynamo_Kyiv,35174,Dynamo Kyiv,russian,32
2016-10-01,FC_Dynamo_Kyiv,23739,Dynamo Kyiv,russian,32
2016-11-01,FC_Dynamo_Kyiv,25682,Dynamo Kyiv,russian,32
2016-12-01,FC_Dynamo_Kyiv,30294,Dynamo Kyiv,russian,32
2017-01-01,FC_Dynamo_Kyiv,20972,Dynamo Kyiv,russian,32
2017-02-01,FC_Dynamo_Kyiv,22475,Dynamo Kyiv,russian,32
2017-03-01,FC_Dynamo_Kyiv,22204,Dynamo Kyiv,russian,32
2017-04-01,FC_Dynamo_Kyiv,20448,Dynamo Kyiv,russian,32
2017-05-01,FC_Dynamo_Kyiv,25455,Dynamo Kyiv,russian,32
2017-06-01,FC_Dynamo_Kyiv,26046,Dynamo Kyiv,russian,32
2017-07-01,FC_Dynamo_Kyiv,30006,Dynamo Kyiv,russian,32
2017-08-01,FC_Dynamo_Kyiv,38635,Dynamo Kyiv,russian,32
2017-09-01,FC_Dynamo_Kyiv,31738,Dynamo Kyiv,russian,32
2017-10-01,FC_Dynamo_Kyiv,22363,Dynamo Kyiv,russian,32
2017-11-01,FC_Dynamo_Kyiv,19973,Dynamo Kyiv,russian,32
2017-12-01,FC_Dynamo_Kyiv,27842,Dynamo Kyiv,russian,32
2018-01-01,FC_Dynamo_Kyiv,23396,Dynamo Kyiv,russian,32
2018-02-01,FC_Dynamo_Kyiv,30461,Dynamo Kyiv,russian,32
2018-03-01,FC_Dynamo_Kyiv,28272,Dynamo Kyiv,russian,32
2018-04-01,FC_Dynamo_Kyiv,21511,Dynamo Kyiv,russian,32
2018-05-01,FC_Dynamo_Kyiv,34323,Dynamo Kyiv,russian,32
2018-06-01,FC_Dynamo_Kyiv,26104,Dynamo Kyiv,russian,32
2018-07-01,FC_Dynamo_Kyiv,51792,Dynamo Kyiv,russian,32
2018-08-01,FC_Dynamo_Kyiv,48842,Dynamo Kyiv,russian,32
2018-09-01,FC_Dynamo_Kyiv,22833,Dynamo Kyiv,russian,32
2018-10-01,FC_Dynamo_Kyiv,20510,Dynamo Kyiv,russian,32
2018-11-01,FC_Dynamo_Kyiv,19719,Dynamo Kyiv,russian,32
2018-12-01,FC_Dynamo_Kyiv,22123,Dynamo Kyiv,russian,32
2019-01-01,FC_Dynamo_Kyiv,19520,Dynamo Kyiv,russian,32
2019-02-01,FC_Dynamo_Kyiv,26757,Dynamo Kyiv,russian,32
2019-03-01,FC_Dynamo_Kyiv,33548,Dynamo Kyiv,russian,32
2019-04-01,FC_Dynamo_Kyiv,15891,Dynamo Kyiv,russian,32
2019-05-01,FC_Dynamo_Kyiv,20129,Dynamo Kyiv,russian,32
2019-06-01,FC_Dynamo_Kyiv,20827,Dynamo Kyiv,russian,32
2019-07-01,FC_Dynamo_Kyiv,22177,Dynamo Kyiv,russian,32
2019-08-01,FC_Dynamo_Kyiv,30774,Dynamo Kyiv,russian,32
2019-09-01,FC_Dynamo_Kyiv,26601,Dynamo Kyiv,russian,32
2019-10-01,FC_Dynamo_Kyiv,20995,Dynamo Kyiv,russian,32
2019-11-01,FC_Dynamo_Kyiv,19545,Dynamo Kyiv,russian,32
2019-12-01,FC_Dynamo_Kyiv,16746,Dynamo Kyiv,russian,32
2020-01-01,FC_Dynamo_Kyiv,15173,Dynamo Kyiv,russian,32
2020-02-01,FC_Dynamo_Kyiv,15281,Dynamo Kyiv,russian,32
2020-03-01,FC_Dynamo_Kyiv,17182,Dynamo Kyiv,russian,32
2020-04-01,FC_Dynamo_Kyiv,18497,Dynamo Kyiv,russian,32
2020-05-01,FC_Dynamo_Kyiv,18078,Dynamo Kyiv,russian,32
2020-06-01,FC_Dynamo_Kyiv,16329,Dynamo Kyiv,russian,32
2020-07-01,FC_Dynamo_Kyiv,25883,Dynamo Kyiv,russian,32
2020-08-01,FC_Dynamo_Kyiv,36400,Dynamo Kyiv,russian,32
2020-09-01,FC_Dynamo_Kyiv,32581,Dynamo Kyiv,russian,32
2020-10-01,FC_Dynamo_Kyiv,52230,Dynamo Kyiv,russian,32
2020-11-01,FC_Dynamo_Kyiv,35965,Dynamo Kyiv,russian,32
2020-12-01,FC_Dynamo_Kyiv,25160,Dynamo Kyiv,russian,32
