date,article,views,label,variant,pair_id
2021-12-01,Sviatohirsk_Lavra,746,Sviatohirsk Lavra,russian,89
2022-01-01,Sviatohirsk_Lavra,748,Sviatohirsk Lavra,russian,89
2022-02-01,Sviatohirsk_Lavra,1242,Sviatohirsk Lavra,russian,89
2022-03-01,Sviatohirsk_Lavra,9706,Sviatohirsk Lavra,russian,89
2022-04-01,Sviatohirsk_Lavra,2899,Sviatohirsk Lavra,russian,89
2022-05-01,Sviatohirsk_Lavra,4646,Sviatohirsk Lavra,russian,89
2022-06-01,Sviatohirsk_Lavra,27167,Sviatohirsk Lavra,russian,89
2022-07-01,Sviatohirsk_Lavra,3516,Sviatohirsk Lavra,russian,89
2022-08-01,Sviatohirsk_Lavra,2928,Sviatohirsk Lavra,russian,89
2022-09-01,Sviatohirsk_Lavra,6411,Sviatohirsk Lavra,russian,89
2022-10-01,Sviatohirsk_Lavra,4878,Sviatohirsk Lavra,russian,89
2022-11-01,Sviatohirsk_Lavra,1447,Sviatohirsk Lavra,russian,89
2022-12-01,Sviatohirsk_Lavra,1768,Sviatohirsk Lavra,russian,89
2023-01-01,Sviatohirsk_Lavra,1509,Sviatohirsk Lavra,russian,89
2023-02-01,Sviatohirsk_Lavra,994,Sviatohirsk Lavra,russian,89
2023-03-01,Sviatohirsk_Lavra,1451,Sviatohirsk Lavra,russian,89
2023-04-01,Sviatohirsk_Lavra,1090,Sviatohirsk Lavra,russian,89
2023-05-01,Sviatohirsk_Lavra,1140,Sviatohirsk Lavra,russian,89
2023-06-01,Sviatohirsk_Lavra,1770,Sviatohirsk Lavra,russian,89
2023-07-01,Sviatohirsk_Lavra,978,Sviatohirsk Lavra,russian,89
2023-08-01,Sviatohirsk_Lavra,919,Sviatohirsk Lavra,russian,89
2023-09-01,Sviatohirsk_Lavra,844,Sviatohirsk Lavra,russian,89
2023-10-01,Sviatohirsk_Lavra,872,Sviatohirsk Lavra,russian,89
2023-11-01,Sviatohirsk_Lavra,871,Sviatohirsk Lavra,russian,89
2023-12-01,Sviatohirsk_Lavra,1025,Sviatohirsk Lavra,russian,89
2024-01-01,Sviatohirsk_Lavra,950,Sviatohirsk Lavra,russian,89
2024-02-01,Sviatohirsk_Lavra,1045,Sviatohirsk Lavra,russian,89
2024-03-01,Sviatohirsk_Lavra,932,Sviatohirsk Lavra,russian,89
2024-04-01,Sviatohirsk_Lavra,1298,Sviatohirsk Lavra,russian,89
2024-05-01,Sviatohirsk_Lavra,1268,Sviatohirsk Lavra,russian,89
2024-06-01,Sviatohirsk_Lavra,1248,Sviatohirsk Lavra,russian,89
2024-07-01,Sviatohirsk_Lavra,1313,Sviatohirsk Lavra,russian,89
2024-08-01,Sviatohirsk_Lavra,1740,Sviatohirsk Lavra,russian,89
2024-09-01,Sviatohirsk_Lavra,1438,Sviatohirsk Lavra,russian,89
2024-10-01,Sviatohirsk_Lavra,1604,Sviatohirsk Lavra,russian,89
2024-11-01,Sviatohirsk_Lavra,1435,Sviatohirsk Lavra,russian,89
2024-12-01,Sviatohirsk_Lavra,1576,Sviatohirsk Lavra,russian,89
2025-01-01,Sviatohirsk_Lavra,1668,Sviatohirsk Lavra,russian,89
2025-02-01,Sviatohirsk_Lavra,1345,Sviatohirsk Lavra,russian,89
2025-03-01,Sviatohirsk_Lavra,1576,Sviatohirsk Lavra,russian,89
2025-04-01,Sviatohirsk_Lavra,1548,Sviatohirsk Lavra,russian,89
2025-05-01,Sviatohirsk_Lavra,1624,Sviatohirsk Lavra,russian,89
2025-06-01,Sviatohirsk_Lavra,1312,Sviatohirsk Lavra,russian,89
2025-07-01,Sviatohirsk_Lavra,1177,Sviatohirsk Lavra,russian,89
2025-08-01,Sviatohirsk_Lavra,2075,Sviatohirsk Lavra,russian,89
2025-09-01,Sviatohirsk_Lavra,1267,Sviatohirsk Lavra,russian,89
2025-10-01,Sviatohirsk_Lavra,1504,Sviatohirsk Lavra,russian,89
2025-11-01,Sviatohirsk_Lavra,1648,Sviatohirsk Lavra,russian,89
2025-12-01,Sviatohirsk_Lavra,1881,Sviatohirsk Lavra,russian,89
2026-01-01,Sviatohirsk_Lavra,1775,Sviatohirsk Lavra,russian,89
2026-02-01,Sviatohirsk_Lavra,1104,Sviatohirsk Lavra,russian,89
2026-03-01,Sviatohirsk_Lavra,498,Sviatohirsk Lavra,russian,89
