pair_id,page_title,variant,date,pageviews
70,Volodymyr the Great,ukrainian,2015-09-01,366
70,Volodymyr the Great,ukrainian,2015-10-01,328
70,Volodymyr the Great,ukrainian,2015-11-01,312
70,Volodymyr the Great,ukrainian,2015-12-01,326
70,Volodymyr the Great,ukrainian,2016-01-01,369
70,Volodymyr the Great,ukrainian,2016-02-01,364
70,Volodymyr the Great,ukrainian,2016-03-01,439
70,Volodymyr the Great,ukrainian,2016-04-01,444
70,Volodymyr the Great,ukrainian,2016-05-01,443
70,Volodymyr the Great,ukrainian,2016-06-01,412
70,Volodymyr the Great,ukrainian,2016-07-01,425
70,Volodymyr the Great,ukrainian,2016-08-01,568
70,Volodymyr the Great,ukrainian,2016-09-01,487
70,Volodymyr the Great,ukrainian,2016-10-01,467
70,Volodymyr the Great,ukrainian,2016-11-01,1315
70,Volodymyr the Great,ukrainian,2016-12-01,476
70,Volodymyr the Great,ukrainian,2017-01-01,521
70,Volodymyr the Great,ukrainian,2017-02-01,412
70,Volodymyr the Great,ukrainian,2017-03-01,561
70,Volodymyr the Great,ukrainian,2017-04-01,470
70,Volodymyr the Great,ukrainian,2017-05-01,510
70,Volodymyr the Great,ukrainian,2017-06-01,472
70,Volodymyr the Great,ukrainian,2017-07-01,484
70,Volodymyr the Great,ukrainian,2017-08-01,194
70,Volodymyr the Great,ukrainian,2017-09-01,223
70,Volodymyr the Great,ukrainian,2017-10-01,246
70,Volodymyr the Great,ukrainian,2017-11-01,239
70,Volodymyr the Great,ukrainian,2017-12-01,213
70,Volodymyr the Great,ukrainian,2018-01-01,248
70,Volodymyr the Great,ukrainian,2018-02-01,208
70,Volodymyr the Great,ukrainian,2018-03-01,285
70,Volodymyr the Great,ukrainian,2018-04-01,285
70,Volodymyr the Great,ukrainian,2018-05-01,236
70,Volodymyr the Great,ukrainian,2018-06-01,211
70,Volodymyr the Great,ukrainian,2018-07-01,234
70,Volodymyr the Great,ukrainian,2018-08-01,298
70,Volodymyr the Great,ukrainian,2018-09-01,294
70,Volodymyr the Great,ukrainian,2018-10-01,322
70,Volodymyr the Great,ukrainian,2018-11-01,300
70,Volodymyr the Great,ukrainian,2018-12-01,258
70,Volodymyr the Great,ukrainian,2019-01-01,358
70,Volodymyr the Great,ukrainian,2019-02-01,245
70,Volodymyr the Great,ukrainian,2019-03-01,260
70,Volodymyr the Great,ukrainian,2019-04-01,306
70,Volodymyr the Great,ukrainian,2019-05-01,248
70,Volodymyr the Great,ukrainian,2019-06-01,254
70,Volodymyr the Great,ukrainian,2019-07-01,304
70,Volodymyr the Great,ukrainian,2019-08-01,301
70,Volodymyr the Great,ukrainian,2019-09-01,340
70,Volodymyr the Great,ukrainian,2019-10-01,304
70,Volodymyr the Great,ukrainian,2019-11-01,304
70,Volodymyr the Great,ukrainian,2019-12-01,398
70,Volodymyr the Great,ukrainian,2020-01-01,402
70,Volodymyr the Great,ukrainian,2020-02-01,296
70,Volodymyr the Great,ukrainian,2020-03-01,280
70,Volodymyr the Great,ukrainian,2020-04-01,305
70,Volodymyr the Great,ukrainian,2020-05-01,322
70,Volodymyr the Great,ukrainian,2020-06-01,233
70,Volodymyr the Great,ukrainian,2020-07-01,240
70,Volodymyr the Great,ukrainian,2020-08-01,244
