date,article,views,label,variant,pair_id
2015-07-01,Kiev,49736,Russian-derived search,russian,1
2015-08-01,Kiev,53530,Russian-derived search,russian,1
2015-09-01,Kiev,54557,Russian-derived search,russian,1
2015-10-01,Kiev,62030,Russian-derived search,russian,1
2015-11-01,Kiev,58669,Russian-derived search,russian,1
2015-12-01,Kiev,55531,Russian-derived search,russian,1
2016-01-01,Kiev,56512,Russian-derived search,russian,1
2016-02-01,Kiev,60401,Russian-derived search,russian,1
2016-03-01,Kiev,56573,Russian-derived search,russian,1
2016-04-01,Kiev,85177,Russian-derived search,russian,1
2016-05-01,Kiev,63456,Russian-derived search,russian,1
2016-06-01,Kiev,55159,Russian-derived search,russian,1
2016-07-01,Kiev,52457,Russian-derived search,russian,1
2016-08-01,Kiev,56323,Russian-derived search,russian,1
2016-09-01,Kiev,59787,Russian-derived search,russian,1
2016-10-01,Kiev,63616,Russian-derived search,russian,1
2016-11-01,Kiev,61937,Russian-derived search,russian,1
2016-12-01,Kiev,66856,Russian-derived search,russian,1
2017-01-01,Kiev,71697,Russian-derived search,russian,1
2017-02-01,Kiev,65583,Russian-derived search,russian,1
2017-03-01,Kiev,85367,Russian-derived search,russian,1
2017-04-01,Kiev,79409,Russian-derived search,russian,1
2017-05-01,Kiev,90450,Russian-derived search,russian,1
2017-06-01,Kiev,66220,Russian-derived search,russian,1
2017-07-01,Kiev,61175,Russian-derived search,russian,1
2017-08-01,Kiev,67693,Russian-derived search,russian,1
2017-09-01,Kiev,65782,Russian-derived search,russian,1
2017-10-01,Kiev,64294,Russian-derived search,russian,1
2017-11-01,Kiev,64993,Russian-derived search,russian,1
2017-12-01,Kiev,61258,Russian-derived search,russian,1
2018-01-01,Kiev,63438,Russian-derived search,russian,1
2018-02-01,Kiev,69994,Russian-derived search,russian,1
2018-03-01,Kiev,78879,Russian-derived search,russian,1
2018-04-01,Kiev,83848,Russian-derived search,russian,1
2018-05-01,Kiev,155551,Russian-derived search,russian,1
2018-06-01,Kiev,65932,Russian-derived search,russian,1
2018-07-01,Kiev,69731,Russian-derived search,russian,1
2018-08-01,Kiev,64719,Russian-derived search,russian,1
2018-09-01,Kiev,59267,Russian-derived search,russian,1
2018-10-01,Kiev,73697,Russian-derived search,russian,1
2018-11-01,Kiev,66095,Russian-derived search,russian,1
2018-12-01,Kiev,64291,Russian-derived search,russian,1
2019-01-01,Kiev,64151,Russian-derived search,russian,1
2019-02-01,Kiev,62027,Russian-derived search,russian,1
2019-03-01,Kiev,62261,Russian-derived search,russian,1
2019-04-01,Kiev,69399,Russian-derived search,russian,1
2019-05-01,Kiev,81329,Russian-derived search,russian,1
2019-06-01,Kiev,89912,Russian-derived search,russian,1
2019-07-01,Kiev,74585,Russian-derived search,russian,1
2019-08-01,Kiev,67703,Russian-derived search,russian,1
2019-09-01,Kiev,79381,Russian-derived search,russian,1
2019-10-01,Kiev,86704,Russian-derived search,russian,1
2019-11-01,Kiev,123495,Russian-derived search,russian,1
2019-12-01,Kiev,93190,Russian-derived search,russian,1
2020-01-01,Kiev,103723,Russian-derived search,russian,1
2020-02-01,Kiev,68237,Russian-derived search,russian,1
2020-03-01,Kiev,72811,Russian-derived search,russian,1
2020-04-01,Kiev,79613,Russian-derived search,russian,1
2020-05-01,Kiev,76363,Russian-derived search,russian,1
2020-06-01,Kiev,59943,Russian-derived search,russian,1
2020-07-01,Kiev,60720,Russian-derived search,russian,1
2020-08-01,Kiev,65460,Russian-derived search,russian,1
2020-09-01,Kiev,49184,Russian-derived search,russian,1
2020-10-01,Kiev,17538,Russian-derived search,russian,1
2020-11-01,Kiev,16845,Russian-derived search,russian,1
2020-12-01,Kiev,16067,Russian-derived search,russian,1
2021-01-01,Kiev,14589,Russian-derived search,russian,1
2021-02-01,Kiev,11577,Russian-derived search,russian,1
2021-03-01,Kiev,12559,Russian-derived search,russian,1
2021-04-01,Kiev,12203,Russian-derived search,russian,1
2021-05-01,Kiev,11902,Russian-derived search,russian,1
2021-06-01,Kiev,10705,Russian-derived search,russian,1
2021-07-01,Kiev,11479,Russian-derived search,russian,1
2021-08-01,Kiev,11300,Russian-derived search,russian,1
2021-09-01,Kiev,11179,Russian-derived search,russian,1
2021-10-01,Kiev,9136,Russian-derived search,russian,1
2021-11-01,Kiev,8666,Russian-derived search,russian,1
2021-12-01,Kiev,9248,Russian-derived search,russian,1
2022-01-01,Kiev,13731,Russian-derived search,russian,1
2022-02-01,Kiev,53684,Russian-derived search,russian,1
2022-03-01,Kiev,58624,Russian-derived search,russian,1
2022-04-01,Kiev,25345,Russian-derived search,russian,1
2022-05-01,Kiev,17564,Russian-derived search,russian,1
2022-06-01,Kiev,13017,Russian-derived search,russian,1
2022-07-01,Kiev,11265,Russian-derived search,russian,1
2022-08-01,Kiev,10182,Russian-derived search,russian,1
2022-09-01,Kiev,9944,Russian-derived search,russian,1
2022-10-01,Kiev,12140,Russian-derived search,russian,1
2022-11-01,Kiev,10677,Russian-derived search,russian,1
2022-12-01,Kiev,10192,Russian-derived search,russian,1
2023-01-01,Kiev,10429,Russian-derived search,russian,1
2023-02-01,Kiev,9133,Russian-derived search,russian,1
2023-03-01,Kiev,11134,Russian-derived search,russian,1
2023-04-01,Kiev,8272,Russian-derived search,russian,1
2023-05-01,Kiev,8318,Russian-derived search,russian,1
2023-06-01,Kiev,9206,Russian-derived search,russian,1
2023-07-01,Kiev,9426,Russian-derived search,russian,1
2023-08-01,Kiev,9502,Russian-derived search,russian,1
2023-09-01,Kiev,8166,Russian-derived search,russian,1
2023-10-01,Kiev,9429,Russian-derived search,russian,1
2023-11-01,Kiev,7899,Russian-derived search,russian,1
2023-12-01,Kiev,7727,Russian-derived search,russian,1
2024-01-01,Kiev,7802,Russian-derived search,russian,1
2024-02-01,Kiev,11923,Russian-derived search,russian,1
2024-03-01,Kiev,9948,Russian-derived search,russian,1
2024-04-01,Kiev,8871,Russian-derived search,russian,1
2024-05-01,Kiev,7948,Russian-derived search,russian,1
2024-06-01,Kiev,7441,Russian-derived search,russian,1
2024-07-01,Kiev,9108,Russian-derived search,russian,1
2024-08-01,Kiev,10260,Russian-derived search,russian,1
2024-09-01,Kiev,9965,Russian-derived search,russian,1
2024-10-01,Kiev,9567,Russian-derived search,russian,1
2024-11-01,Kiev,9734,Russian-derived search,russian,1
2024-12-01,Kiev,10194,Russian-derived search,russian,1
2025-01-01,Kiev,11517,Russian-derived search,russian,1
2025-02-01,Kiev,13221,Russian-derived search,russian,1
2025-03-01,Kiev,15162,Russian-derived search,russian,1
2025-04-01,Kiev,11435,Russian-derived search,russian,1
2025-05-01,Kiev,11041,Russian-derived search,russian,1
2025-06-01,Kiev,11690,Russian-derived search,russian,1
2025-07-01,Kiev,10667,Russian-derived search,russian,1
2025-08-01,Kiev,12472,Russian-derived search,russian,1
2025-09-01,Kiev,14814,Russian-derived search,russian,1
2025-10-01,Kiev,12441,Russian-derived search,russian,1
2025-11-01,Kiev,13536,Russian-derived search,russian,1
2025-12-01,Kiev,16514,Russian-derived search,russian,1
2026-01-01,Kiev,18374,Russian-derived search,russian,1
2026-02-01,Kiev,11581,Russian-derived search,russian,1
2026-03-01,Kiev,7283,Russian-derived search,russian,1
2015-07-01,Kyiv,3018,Ukrainian-derived search,ukrainian,1
2015-08-01,Kyiv,3348,Ukrainian-derived search,ukrainian,1
2015-09-01,Kyiv,2898,Ukrainian-derived search,ukrainian,1
2015-10-01,Kyiv,4285,Ukrainian-derived search,ukrainian,1
2015-11-01,Kyiv,3640,Ukrainian-derived search,ukrainian,1
2015-12-01,Kyiv,2908,Ukrainian-derived search,ukrainian,1
2016-01-01,Kyiv,3371,Ukrainian-derived search,ukrainian,1
2016-02-01,Kyiv,4170,Ukrainian-derived search,ukrainian,1
2016-03-01,Kyiv,4126,Ukrainian-derived search,ukrainian,1
2016-04-01,Kyiv,4169,Ukrainian-derived search,ukrainian,1
2016-05-01,Kyiv,4338,Ukrainian-derived search,ukrainian,1
2016-06-01,Kyiv,4461,Ukrainian-derived search,ukrainian,1
2016-07-01,Kyiv,3416,Ukrainian-derived search,ukrainian,1
2016-08-01,Kyiv,2917,Ukrainian-derived search,ukrainian,1
